country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Italy,1850,ITA,24460960.0,62142853120.0,,,,,,,,,,,,,,,,,,,,,,,,,,24.879,,,,,,,,,0.295,1.119,24.879,1.017,16.296,0.666,1.657,0.068,,,,,,,,,,,,,,,,0.943,,,,,0.943,,,,,,,,27.37,7.22,,
Italy,1851,ITA,24612813.0,62593904640.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.264,,,,,,,,,0.295,1.164,26.386,1.072,16.392,0.666,1.684,0.068,,,,,,,,,,,,,,,,0.939,,,,,0.936,,,0.584,0.0,0.0,0.0,0.0,28.655,7.262,,
Italy,1852,ITA,24765592.0,62945677312.0,,,,,,,,,,,,,,,,,,,,,,,,,,78.818,,,,,,,,,0.295,1.196,27.554,1.113,16.488,0.666,1.711,0.069,,,,,,,,,,,,,,,,0.948,,,,,0.964,,,0.592,0.0,0.0,0.0,0.0,29.629,7.302,,
Italy,1853,ITA,24919302.0,63561056256.0,,,,,,,,,,,,,,,,,,,,,,,,,,106.103,,,,,,,,,0.295,1.173,27.285,1.095,16.582,0.665,1.737,0.07,,,,,,,,,,,,,,,,0.946,,,,,0.939,,,0.589,0.0,0.0,0.0,0.0,29.238,7.341,,
Italy,1854,ITA,25073965.0,63944859648.0,,,,,,,,,,,,,,,,,,,,,,,,,,132.373,,,,,,,,,0.294,1.122,26.27,1.048,16.676,0.665,1.762,0.07,,,,,,,,,,,,,,,,0.936,,,,,0.901,,,0.578,0.0,0.0,0.0,0.0,28.123,7.379,,
Italy,1855,ITA,25229586.0,64917262336.0,,,,,,,,,,,,,,,,,,,,,,,,,,159.926,,,,,,,,,0.294,1.162,27.553,1.092,16.768,0.665,1.785,0.071,,,,,,,,,,,,,,,,0.94,,,,,0.957,,,0.578,0.0,0.0,0.0,0.0,29.319,7.415,,
Italy,1856,ITA,25386172.0,65147613184.0,,,,,,,,,,,,,,,,,,,,,,,,,,188.485,,,,,,,,,0.293,1.192,28.558,1.125,16.859,0.664,1.807,0.071,,,,,,,,,,,,,,,,0.943,,,,,0.962,,,0.579,0.0,0.0,0.0,0.0,30.251,7.451,,
Italy,1857,ITA,25543728.0,65432334336.0,,,,,,,,,,,,,,,,,,,,,,,,,,216.884,,,,,,,,,0.293,1.176,28.399,1.112,16.95,0.664,1.826,0.071,,,,,,,,,,,,,,,,0.946,,,,,0.962,,,0.579,0.0,0.0,0.0,0.0,30.031,7.484,,
Italy,1858,ITA,25702261.0,65688031232.0,,,,,,,,,,,,,,,,,,,,,,,,,,245.632,,,,,,,,,0.292,1.18,28.749,1.119,17.039,0.663,1.843,0.072,,,,,,,,,,,,,,,,0.948,,,,,0.966,,,0.579,0.0,0.0,0.0,0.0,30.328,7.516,,
Italy,1859,ITA,25863255.0,65946734592.0,,,,,,,,,,,,,,,,,,,,,,,,,,273.677,,,,,,,,,0.292,1.144,28.045,1.084,17.127,0.662,1.857,0.072,,,,,,,,,,,,,,,,0.945,,,,,0.923,,,0.576,0.0,0.0,0.0,0.0,29.575,7.546,,
